Comparing the following files: 
kelly_front_s1_v2/,  hadleigh_front_s1_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s1_v2_vs_hadleigh_front_s1_v2,  average
(14, 375),     -0.17868,       -0.17868
(53, 105),     -0.17818,       -0.17818
(62, 375),     -0.17799,       -0.17799
(98, 157),     -0.17771,       -0.17771
(53, 193),     -0.17757,       -0.17757
(178, 291),     -0.17755,       -0.17755
(62, 327),     -0.17726,       -0.17726
(88, 306),     -0.17708,       -0.17708
(191, 375),     -0.17674,       -0.17674
(62, 163),     -0.17597,       -0.17597
(46, 65),     -0.1756,       -0.1756
(33, 415),     -0.175,       -0.175
(78, 163),     -0.17436,       -0.17436
(144, 193),     -0.17361,       -0.17361
(191, 415),     -0.17332,       -0.17332
(46, 52),     -0.17332,       -0.17332
(156, 380),     -0.17323,       -0.17323
(78, 415),     -0.1728,       -0.1728
(181, 300),     -0.17218,       -0.17218
(98, 158),     -0.17218,       -0.17218
(178, 300),     -0.17195,       -0.17195
(61, 287),     -0.17112,       -0.17112
(55, 287),     -0.17091,       -0.17091
(374, 383),     -0.17006,       -0.17006
(98, 159),     -0.17005,       -0.17005
(306, 402),     -0.16905,       -0.16905
(87, 375),     -0.16892,       -0.16892
(154, 292),     -0.16824,       -0.16824
(146, 383),     -0.16792,       -0.16792
(314, 383),     -0.16792,       -0.16792
(53, 98),     -0.16788,       -0.16788
(191, 311),     -0.16752,       -0.16752
(95, 308),     -0.16744,       -0.16744
(61, 87),     -0.16721,       -0.16721
(155, 291),     -0.16705,       -0.16705
(66, 70),     -0.16696,       -0.16696
(156, 181),     -0.16656,       -0.16656
(276, 381),     -0.16639,       -0.16639
(35, 95),     -0.16628,       -0.16628
(193, 292),     -0.16597,       -0.16597
(193, 308),     -0.16452,       -0.16452
(7, 157),     -0.16419,       -0.16419
(33, 324),     -0.16407,       -0.16407
(156, 405),     -0.16393,       -0.16393
(265, 314),     -0.16384,       -0.16384
